path	frozen_at_commit	git_blob_sha1	blob_sha256	size_bytes	evidence_role
goal-biological-topk.md	7fae3de6b13780d7cc0776038489cf2f22072339	3e8cede04f360ec626d5febd3a3cadeed1d4c2f0	1cd5e5a023d53655641ba831142f489011111fd2c166d895b2a851b0f513f6c3	115676	immutable_predecessor_validation_evidence
paper/biological_topk/PROGRAM_STATE.json	7fae3de6b13780d7cc0776038489cf2f22072339	2020acf7dce301e68a49a79f5864a609f0303cea	8c626090b68e9699a30ec3ee7ce3b0b448791d39fa9ede4d1af682236235ff63	1090	immutable_predecessor_validation_evidence
paper/biological_topk/STATUS.md	7fae3de6b13780d7cc0776038489cf2f22072339	6a63be82c0e6379fd5511c3772120b975b009cbb	caedd26ae24103b846d714b1a3f883110ab1f85495b9b771ab67296c5273d512	8029	immutable_predecessor_validation_evidence
paper/biological_topk/claim_ledger.tsv	7fae3de6b13780d7cc0776038489cf2f22072339	54dc70cf2b0e1efee366bee724c7bab8b35b639b	e5a7628085ecabd9ef1a1f76cce9d53111220f422e406fb48d48ee9bec263b8e	4208	immutable_predecessor_validation_evidence
paper/biological_topk/concordance_power_plan.json	7fae3de6b13780d7cc0776038489cf2f22072339	78a8596fc2bb6af56bdce80c3265ea0d8996f268	b3c8b7ca610bf86336e902a706340a51bd1975e2c8922220bc2f64d1abbdd903	2849	immutable_predecessor_validation_evidence
paper/biological_topk/contract_spec.json	7fae3de6b13780d7cc0776038489cf2f22072339	ecef1469992b4706c32ea555ac258c2586776708	c396f346a0fa00fb0b746f9582100eb46d22fbe892c8fa3053a6caa3d5342af9	5428	immutable_predecessor_validation_evidence
paper/biological_topk/coordinate_golden_fixtures.tsv	7fae3de6b13780d7cc0776038489cf2f22072339	8d7e1ca5cabd4c479f51f00efd531bd5f7dcaaad	50c28f42fc9a429c711b89cc96a92340fd8c2abb52c3f60f417fc4a886e6e7b5	3546	immutable_predecessor_validation_evidence
paper/biological_topk/epoch_receipt.json	7fae3de6b13780d7cc0776038489cf2f22072339	3923d5dfb090f64358affd9a8544ee4e16e5bfcd	bacd2661347d6ef691052461cfdcd90e92f0d2e69a370e9f747c35c690165855	2989	immutable_predecessor_validation_evidence
paper/biological_topk/experimental_power_simulation_plan.json	7fae3de6b13780d7cc0776038489cf2f22072339	afc333531afde4279a6d88caa3aace30358019da	e96f7d056f98d92d3d09e79033a7f312ed9054057f7963f71d18d82ff079abc4	1973	immutable_predecessor_validation_evidence
paper/biological_topk/fresh_budget_projection_plan.json	7fae3de6b13780d7cc0776038489cf2f22072339	35d5d5db679b2919c99a68d73dd289bf675ef27d	ad56983d725c4ed0d3a39243d3fee16d1ff57cf2a41d7936e1f8ec81558c6bec	1063	immutable_predecessor_validation_evidence
paper/biological_topk/fresh_holdout_actual_resources.json	7fae3de6b13780d7cc0776038489cf2f22072339	a0dab527ea2ada498c83c7fb52a263da75831e1a	4314edcdc1861553821c4225e4980a88cebf836f7ae4c6142ccaabfb2824b08f	1616	immutable_predecessor_validation_evidence
paper/biological_topk/fresh_holdout_attempt_plan.tsv	7fae3de6b13780d7cc0776038489cf2f22072339	fd3df045fbeb6f5b59684aa3bb3778d8760dd021	fc8aaf41f4566fca2805a82067a30c90a5f7e38f5e1d87ff44efad0f14811d36	523145	immutable_predecessor_validation_evidence
paper/biological_topk/fresh_holdout_decision.json	7fae3de6b13780d7cc0776038489cf2f22072339	ed566a40fe7d697eda0cf9e73d6c07da842e71d3	d96fd8a0a8d7d86e7cfcbdd9e44a76affdaa8d175e609ace5ebd91a2ab5b398c	2058	immutable_predecessor_validation_evidence
paper/biological_topk/fresh_holdout_infrastructure_incident.json	7fae3de6b13780d7cc0776038489cf2f22072339	3ad3eb5eb580ed31a6c12036185befbd15c6a381	ef3cdd701b1832b0ed2c638f0f9507da7c3c29486dcc13f28bab7688507afefe	3782	immutable_predecessor_validation_evidence
